step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.087450955569455,0,0.0,0.975323448495665,0,0.0
10.0,0,0.0,0.0,12.021515834678757,0,0.0,0.9107738253237653,0,0.0
15.0,2,4.0,0.25,10.552049340414886,2,4.0,0.7762593942492796,2,4.0
20.0,5,20.0,1.1764705882352942,7.933547977264866,5,20.0,0.4591865086228723,5,20.0
25.0,9,55.0,2.5,6.180585534762585,9,55.0,0.3368404931295365,9,55.0
30.0,11,108.0,4.695652173913044,6.134031511327636,11,108.0,0.40913828261543844,11,108.0
35.0,12,164.0,7.130434782608695,4.537621485830698,12,164.0,0.2641200837663089,12,164.0
40.0,15,237.0,9.115384615384615,4.782431868198682,15,237.0,0.25594368542782897,15,237.0
45.0,17,319.0,11.392857142857142,4.861204252579722,17,319.0,0.20116368141252103,17,319.0
50.0,18,406.0,14.0,4.542168107309041,18,406.0,0.22876370506410365,18,406.0
55.0,20,501.0,17.275862068965516,3.4241429187888026,20,501.0,0.16925138253225172,20,501.0
60.0,22,609.0,19.03125,2.7820679160852513,22,609.0,0.13227747743313437,22,609.0
65.0,25,730.0,20.857142857142858,2.7280401160404444,25,730.0,0.12239512606799995,25,730.0
70.0,29,869.0,24.13888888888889,1.9378104241821374,29,869.0,0.11066301787231352,29,869.0
75.0,31,1020.0,26.153846153846153,1.6488738688382762,31,1020.0,0.06793799186003639,31,1020.0
80.0,35,1187.0,27.6046511627907,1.6027051962392453,35,1187.0,0.02684654557093119,35,1187.0
85.0,32,963.0,22.928571428571427,1.7567310952085067,32,1222.0,0.04663587019380573,32,1222.0
90.0,22,525.0,12.804878048780488,3.4699928673904434,22,1032.0,0.09554926592379465,22,1032.0
95.0,15,308.0,7.7,5.377998766616575,15,819.0,0.18109499358411013,15,819.0
100.0,8,104.0,2.810810810810811,5.157026189596277,8,863.0,0.19978509016652032,8,863.0
105.0,8,31.0,0.96875,4.329482445856388,8,899.0,0.21158294862002358,8,899.0
110.0,13,85.0,2.5757575757575757,2.79468348703638,13,953.0,0.15652413756507405,13,953.0
115.0,21,173.0,4.805555555555555,1.3908205691153568,21,1041.0,0.10182846487673135,21,1041.0
120.0,27,293.0,7.512820512820513,1.19087561580078,27,1161.0,0.06586638361135817,27,1161.0
125.0,33,445.0,10.595238095238095,1.2713022832902308,33,1314.0,0.07306540142459049,33,1314.0
130.0,38,625.0,14.880952380952381,1.2877562934252698,38,1494.0,0.04676396551079523,38,1494.0
135.0,38,815.0,19.404761904761905,1.2505744270198758,38,1684.0,0.02362951112493991,38,1684.0
140.0,32,766.0,18.682926829268293,1.2387553725204121,32,1679.0,0.0253538183586142,32,1679.0
145.0,25,624.0,15.21951219512195,3.357825578230483,25,1476.0,0.1074070715433229,25,1476.0
150.0,15,385.0,9.166666666666666,5.62524073580813,15,1145.0,0.22907308275068003,15,1145.0
155.0,8,174.0,4.461538461538462,5.7554221060891075,8,1185.0,0.2554497889635506,8,1185.0
160.0,8,28.0,0.8484848484848485,4.902352749476589,8,1218.0,0.21653913596557312,8,1218.0
165.0,14,83.0,2.515151515151515,3.025858957296294,14,1273.0,0.13471790232909037,14,1273.0
170.0,15,86.0,2.388888888888889,1.843552061304097,15,1193.0,0.09318705321701248,15,1193.0
175.0,11,52.0,1.4054054054054055,3.103635833067142,11,956.0,0.12162378130516334,11,956.0
180.0,9,33.0,0.8461538461538461,5.096391375908047,9,608.0,0.1622858099766089,9,608.0
185.0,7,21.0,0.5675675675675675,4.937460032951499,7,647.0,0.20923883298486448,7,647.0
190.0,7,28.0,0.8235294117647058,4.713347844719445,7,678.0,0.23641870183099586,7,678.0
195.0,15,85.0,2.5757575757575757,2.6928078334219085,15,735.0,0.1558587820341544,15,735.0
200.0,20,170.0,4.722222222222222,2.0449856048614015,20,821.0,0.10379730085612283,20,821.0
205.0,21,173.0,4.435897435897436,1.7498728990241228,21,767.0,0.09175054852542903,21,767.0
210.0,19,120.0,2.7906976744186047,3.7971308331400455,19,633.0,0.15332253858497844,19,633.0
215.0,15,102.0,2.4285714285714284,5.75006305905437,15,394.0,0.20772781273162674,15,394.0
220.0,7,45.0,1.1842105263157894,5.182467262098442,7,435.0,0.2095270135557245,7,435.0
225.0,8,31.0,0.8857142857142857,5.213533945988731,8,470.0,0.24695691770537476,8,470.0
230.0,15,89.0,2.4054054054054053,3.6759784159800413,15,528.0,0.19856786712210658,15,528.0
235.0,20,179.0,4.7105263157894735,2.412620322864907,20,618.0,0.1176696818074863,20,618.0
240.0,22,189.0,4.395348837209302,2.8869100747680063,22,593.0,0.15383598809082136,22,593.0
245.0,19,139.0,3.0217391304347827,4.206056830008285,19,552.0,0.19363610845733553,19,552.0
250.0,17,128.0,2.8444444444444446,5.415757586699564,17,451.0,0.2058004164107238,17,451.0
255.0,7,55.0,1.3095238095238095,4.9636775103289255,7,496.0,0.21677845221287456,7,496.0
260.0,8,31.0,0.7948717948717948,5.5304719446896495,8,517.0,0.253826777288834,8,517.0
265.0,15,91.0,2.3333333333333335,4.419715503421492,15,577.0,0.16399347553573185,15,577.0
270.0,22,185.0,4.625,2.672047068766028,22,671.0,0.08304517506890956,22,671.0
275.0,22,191.0,4.775,2.023763826622109,22,684.0,0.10793619640164166,22,684.0
280.0,17,134.0,3.116279069767442,3.547144616974108,17,612.0,0.1702708332296793,17,612.0
285.0,15,109.0,2.477272727272727,5.340989319690393,15,540.0,0.24294212769594226,15,540.0
290.0,7,56.0,1.302325581395349,5.540976357340917,7,508.0,0.24456036076940257,7,508.0
295.0,8,26.0,0.65,6.17762718591425,8,539.0,0.3087373908777058,8,539.0
300.0,12,77.0,1.8780487804878048,5.434197565240344,12,591.0,0.28912795900268995,12,591.0
305.0,19,159.0,3.7857142857142856,3.677645576371448,19,673.0,0.1950998218155164,19,673.0
310.0,26,277.0,6.295454545454546,2.5012257821796697,26,792.0,0.06521995539379359,26,792.0
315.0,35,433.0,9.840909090909092,1.6339890213049904,35,949.0,0.02733962277238924,35,949.0
320.0,38,617.0,13.71111111111111,1.98905699299804,38,1134.0,0.09216253293366349,38,1134.0
325.0,38,807.0,18.34090909090909,1.8542101514552323,38,1324.0,0.11134454855855076,38,1324.0
330.0,33,764.0,17.363636363636363,1.6908497597933978,33,1351.0,0.08384467972948158,33,1351.0
335.0,25,567.0,12.886363636363637,2.761188021827041,25,1242.0,0.091721205957245,25,1242.0
340.0,18,390.0,8.863636363636363,4.834252801624877,18,989.0,0.15077537553030249,18,989.0
345.0,7,180.0,4.390243902439025,4.713577488604097,7,1024.0,0.18043864262674017,7,1024.0
350.0,6,24.0,0.6857142857142857,4.879729120742024,6,1024.0,0.19821783996956333,6,1024.0
355.0,12,75.0,2.027027027027027,3.9561571839612877,12,1075.0,0.17538076968289587,12,1075.0
360.0,12,70.0,1.8421052631578947,2.729175032800603,12,1003.0,0.14761551333963785,12,1003.0
365.0,11,44.0,1.1282051282051282,3.69297785640087,11,837.0,0.17257466972011723,11,837.0
370.0,11,32.0,0.7619047619047619,5.530764069332617,11,573.0,0.20325224574149692,11,573.0
375.0,8,18.0,0.46153846153846156,5.358426438152177,8,604.0,0.24332295817467514,8,604.0
380.0,7,31.0,0.9117647058823529,4.990938857543528,7,635.0,0.2603515139664269,7,635.0
385.0,12,83.0,2.3714285714285714,3.0313483276322892,12,687.0,0.1345507446010585,12,687.0
390.0,12,73.0,2.085714285714286,2.0060801175897875,12,627.0,0.09637870144521973,12,627.0
395.0,10,42.0,1.135135135135135,3.428093183133736,10,433.0,0.09579930646561147,10,433.0
400.0,10,41.0,1.0512820512820513,5.418556680767672,10,248.0,0.17043447100029888,10,248.0
405.0,5,28.0,0.8,6.59113060146071,5,163.0,0.2822956174185904,5,163.0
410.0,3,4.0,0.13333333333333333,6.09082524410239,3,157.0,0.2959686715410641,3,157.0
415.0,7,30.0,1.0344827586206897,4.642736576312297,7,183.0,0.2309682115962547,7,183.0
